class,type,name,spellID,omniCDDefault,skillCappedDefaults,OmniBar,OmniBarType,WeakAura,WeakAuraType,castTime,range,cooldown,iconUrl,screenshotUrl,description
MONK,offensive,Weapons of Order,387184,0,0,0,,1,Offensives,Instant,0 yards,2 minutes,wow-monk-weapons-of-order.png,wow-monk-weapons-of-order.jpg,BrewmasterFor the next 30 sec; your Mastery is increased by [((0.879999995 * 10))]8.8%. Additionally; Keg Smash cooldown is reset instantly and enemies hit by Keg Smash or Rising Sun Kick take 8% increased damage from you for 10 sec; stacking up to 4 times. Windwalker; MistweaverFor the next 30 sec; your Mastery is increased by [((1.72500002 * 10))]17.25%. Additionally;
PALADIN,interrupt,Avenger's Shield,31935,0,0,1,Interrupts,0,,Instant,30 yards,15 seconds,wow-paladin-avenger's-shield.png,wow-paladin-avenger's-shield.jpg,Hurls your shield at an enemy target; dealing (75.3523% of Attack power) Holy damage; interrupting and silencing the non-Player target for 3 sec; and then jumping to 2 additional nearby enemies.
PALADIN,heal,Avenging Crusader,216331,1,0,0,,1,Offensives,Instant,0 yards,1 minute,wow-paladin-avenging-crusader.png,wow-paladin-avenging-crusader.jpg,You become the ultimate crusader of light for 15 sec. Crusader Strike and Judgment cool down 30% faster and heal up to 5 injured allies within 40 yds for 260% of the damage done; split evenly among them.Grants an additional charge of Crusader Strike for its duration.
PALADIN,offensive,Avenging Wrath,31884,1,0,0,,1,Offensives,Instant,0 yards,2 minutes,wow-paladin-avenging-wrath.png,wow-paladin-avenging-wrath.jpg,Call upon the Light to become an avatar of retribution; [causing Judgment to generate 1 additional Holy Power;][each Holy Power spent causing you to explode with Holy light for (13.5% of Attack power) damage to nearby enemies;][reducing Holy Shock's cooldown by 50%;][Hammer of Wrath: allowing Hammer of Wrath to be used on any target]increasing your damage; healing; and critical strike chance by 20% for 20 sec.
PALADIN,heal,Avenging Wrath,384376,1,1,0,,0,,Instant,0 yards,,wow-paladin-avenging-wrath.png,wow-paladin-avenging-wrath.jpg,Retribution (Retribution Paladin)Call upon the Light and become an avatar of retribution; increasing your damage and healing done by 0% for 20 sec; and allowing Hammer of Wrath to be cast on any target.Combines with other Avenging Wrath abilities; granting all known Avenging Wrath effects while active. ProtectionCall upon the Light and become an avatar of retribution; increasing your damage and healing done by 0% for 20 sec; and allowing Hammer of Wrath to be cast on any target.Combines with other Avenging Wrath abilities; granting all known Avenging Wrath effects while active.
PALADIN,freedom,Blessing of Freedom,1044,1,1,0,,0,,Instant,40 yards,1.5 seconds,wow-paladin-blessing-of-freedom.png,wow-paladin-blessing-of-freedom.jpg,Blesses a party or raid member; granting immunity to movement impairing effects [Unbound Freedom: and increasing movement speed by 30%]for 8 sec.
PALADIN,externalDefensive,Blessing of Protection,1022,1,1,1,Defensives,0,,Instant,40 yards,1.5 seconds,wow-paladin-blessing-of-protection.png,wow-paladin-blessing-of-protection.jpg,Holy; RetributionBlesses a party or raid member; granting immunity to Physical damage and harmful effects for 10 sec.Cannot be used on a target with Forbearance. Causes Forbearance for 30 sec. ProtectionBlesses a party or raid member; granting immunity to Physical damage and harmful effects for 10 sec.Cannot be used on a target with Forbearance. Causes Forbearance for 30 sec.Shares a cooldown with Blessing of Spellwarding.
PALADIN,externalDefensive,Blessing of Sacrifice,6940,1,1,1,Defensives,0,,Instant,40 yards,2 minutes,wow-paladin-blessing-of-sacrifice.png,wow-paladin-blessing-of-sacrifice.jpg,Blesses a party or raid member; reducing their damage taken by 30%; but you suffer 100% of damage prevented.Last 12 sec; or until transferred damage would cause you to fall below 20% health.
PALADIN,counterCC,Blessing of Sanctuary,210256,1,1,0,,0,,Instant,40 yards,45 seconds,wow-paladin-blessing-of-sanctuary.png,wow-paladin-blessing-of-sanctuary.jpg,Instantly removes all stun; silence; fear and horror effects from the friendly target and reduces the duration of future such effects by 60% for 5 sec.
PALADIN,externalDefensive,Blessing of Spellwarding,204018,1,1,1,Defensives,0,,Instant,40 yards,1.5 seconds,wow-paladin-blessing-of-spellwarding.png,wow-paladin-blessing-of-spellwarding.jpg,Blesses a party or raid member; granting immunity to magical damage and harmful effects for 10 sec.Cannot be used on a target with Forbearance. Causes Forbearance for 30 sec.Shares a cooldown with Blessing of Protection.
PALADIN,aoeCC,Blinding Light,115750,1,1,0,,0,,Instant,0 yards,1.5 minutes,wow-paladin-blinding-light.png,wow-paladin-blinding-light.jpg,Emits dazzling light in all directions; blinding enemies within 10 yds; causing them to wander disoriented for 6 sec.
PALADIN,dispel,Cleanse,4987,0,1,0,,0,,Instant,40 yards,8 seconds,wow-paladin-cleanse.png,wow-paladin-cleanse.jpg,Cleanses a friendly target; removing all [Improved Cleanse: Poison; Disease; and]Magic effects.
PALADIN,offensive,Crusade,231895,1,0,0,,1,Offensives,Instant,0 yards,2 minutes,wow-paladin-crusade.png,wow-paladin-crusade.jpg,Call upon the Light and begin a crusade; increasing your haste [ Retribution: and damage]by 3% for 27 sec.Each Holy Power spent during Crusade increases haste and damage by an additional 3%.Maximum 10 stacks.[Sanctified Wrath: While active; each Holy Power spent causes you to explode with Holy light for (13.5% of Attack power) damage to nearby enemies][ Retribution: Hammer of Wrath may be cast on any target]
PALADIN,defensive,Divine Protection,403876,1,1,0,,0,,Instant,0 yards,1 minute,wow-paladin-divine-protection.png,wow-paladin-divine-protection.jpg,Reduces all damage you take by 20% for 8 sec. Usable while stunned.
PALADIN,defensive,Divine Protection,498,1,1,0,,0,,Instant,0 yards,1 minute,wow-paladin-divine-protection.png,wow-paladin-divine-protection.jpg,Reduces all damage you take by 20% for 8 sec. Usable while stunned.
PALADIN,immunity,Divine Shield,642,1,1,1,Defensives,0,,Instant,0 yards,5 minutes,wow-paladin-divine-shield.png,wow-paladin-divine-shield.jpg,Grants immunity to all damage; harmful effects; knockbacks and forced movement effects for 8 sec. Cannot be used if you have Forbearance. Causes Forbearance for 30 sec.
PALADIN,cc,Hammer of Justice,853,1,1,1,Crowd Control,0,,Instant,10 yards,45 seconds,wow-paladin-hammer-of-justice.png,wow-paladin-hammer-of-justice.jpg,Stuns the target for 6 sec.
PALADIN,heal,Lay on Hands,633,1,1,0,,0,,Instant,40 yards,10 minutes,wow-paladin-lay-on-hands.png,wow-paladin-lay-on-hands.jpg,Heals a friendly target for an amount equal to 100% your maximum health.Cannot be used on a target with Forbearance. Causes Forbearance for 30 sec.
PALADIN,interrupt,Rebuke,96231,1,1,1,Interrupts,0,,Instant,5 yards,15 seconds,wow-paladin-rebuke.png,wow-paladin-rebuke.jpg,Interrupts spellcasting and prevents any spell in that school from being cast for 3 sec.
PALADIN,defensive,Shield of Vengeance,184662,1,1,0,,0,,Instant,0 yards,1.5 minutes,wow-paladin-shield-of-vengeance.png,wow-paladin-shield-of-vengeance.jpg,Creates a barrier of holy light that absorbs [30 / 100 * Total health * (1 + Versatility)] damage for 10 sec.When the shield expires; it bursts to inflict Holy damage equal to the total amount absorbed; divided among all nearby enemies.
PALADIN,externalDefensive,Ultimate Sacrifice,199448,1,1,0,,0,,Instant,40 yards,2 minutes,wow-paladin-ultimate-sacrifice.png,wow-paladin-ultimate-sacrifice.jpg,Places a Blessing on a party or raid member; transferring 100% of damage taken to you over 6 sec.
PRIEST,offensive,Dark Archangel,197871,0,0,0,,1,Offensives,Instant,0 yards,1 minute,wow-priest-dark-archangel.png,wow-priest-dark-archangel.jpg,Increases your damage; and the damage of all allies with your Atonement by 15% for 8 sec.
PRIEST,offensive,Dark Ascension,391109,1,0,0,,1,Offensives,1.5 seconds,0 yards,1 minute,wow-priest-dark-ascension.png,wow-priest-dark-ascension.jpg,Increases your non-periodic Shadow damage by 20% for 20 sec.Generates 30 Insanity.
PRIEST,defensive,Dispersion,47585,1,1,1,Defensives,0,,Instant,0 yards,2 minutes,wow-priest-dispersion.png,wow-priest-dispersion.jpg,You disperse into pure Shadow energy; reducing all damage taken by 90%.  You are unable to attack or cast spells; but you regenerate 6% mana every 1 sec for 6 sec. Dispersion can be cast while stunned; feared or silenced and clears all snare and movement impairing effects when cast; and makes you immune to them while dispersed.
PRIEST,defensive,Divine Ascension,328530,0,1,0,,0,,Instant,0 yards,1 minute,wow-priest-divine-ascension.png,wow-priest-divine-ascension.jpg,You ascend into the air out of harm's way. While floating; your spell range is increased by 50%; but you are only able to cast Holy spells.
PRIEST,externalDefensive,Guardian Spirit,47788,1,1,1,Defensives,0,,Instant,40 yards,3 minutes,wow-priest-guardian-spirit.png,wow-priest-guardian-spirit.jpg,Calls upon a guardian spirit to watch over the friendly target. The spirit increases the healing received by the target by 40%; and also prevents the target from dying by sacrificing itself.  This sacrifice terminates the effect but heals the target of 50% of their maximum health. Lasts 10 sec.
PRIEST,cc,Holy Word: Chastise,88625,1,1,0,,0,,Instant,30 yards,1 minute,wow-priest-holy-word-chastise.png,wow-priest-holy-word-chastise.jpg,Chastises the target for (385.749% of Spell power) Holy damage and [Censure: stuns / incapacitates] them for [Censure: 4 sec / 4 sec].[ Holy (Level 26): Cooldown reduced by 4 sec when you cast Smite.]
PRIEST,movement,Leap of Faith,73325,1,1,0,,0,,Instant,40 yards,1 second,wow-priest-leap-of-faith.png,wow-priest-leap-of-faith.jpg,Pulls the spirit of a party or raid member; instantly moving them directly in front of you.
PRIEST,dispel,Mass Dispel,32375,1,1,0,,0,,1.5 seconds,30 yards,2 minutes,wow-priest-mass-dispel.png,wow-priest-mass-dispel.jpg,Dispels magic in a 15 yard radius; removing all harmful Magic from 5 friendly targets and 1 beneficial Magic effects from 5 enemy targets. Potent enough to remove Magic that is normally undispellable.
PRIEST,externalDefensive,Pain Suppression,33206,1,1,1,Defensives,0,,Instant,40 yards,1.5 seconds,wow-priest-pain-suppression.png,wow-priest-pain-suppression.jpg,Reduces all damage taken by a friendly target by 40% for 8 sec. Castable while stunned.
PRIEST,counterCC,Phase Shift,408558,0,0,0,,1,Offensives,Instant,0 yards,30 second,wow-priest-phase-shift.png,wow-priest-phase-shift.jpg,Step into the shadows when you cast Fade; avoiding all attacks and spells for 1 sec.Interrupt effects are not affected by Phase Shift.
PRIEST,offensive,Power Infusion,10060,1,1,0,,1,Offensives,Instant,40 yards,2 minutes,wow-priest-power-infusion.png,wow-priest-power-infusion.jpg,Infuses the target with power for 15 sec; increasing haste by 20%.Can only be cast on players.
PRIEST,cc,Psychic Horror,64044,1,1,1,Crowd Control,0,,Instant,30 yards,45 seconds,wow-priest-psychic-horror.png,wow-priest-psychic-horror.jpg,You terrify the target; causing them to tremble in horror for 3 sec and drop their main hand and ranged weapons for 10 sec.
PRIEST,aoeCC,Psychic Scream,8122,1,1,1,Crowd Control,0,,Instant,0 yards,45 seconds,wow-priest-psychic-scream.png,wow-priest-psychic-scream.jpg,Lets out a psychic scream; causing all enemies within 8 yards to flee; disorienting them for 8 sec. Damage may interrupt the effect.
PRIEST,dispel,Purify,527,0,1,0,,0,,Instant,40 yards,8 seconds,wow-priest-purify.png,wow-priest-purify.jpg,Dispels harmful effects on the target; removing all Magic[Improved Purify: and Disease] effects.
PRIEST,heal,Rapture,47536,1,1,0,,0,,Instant,40 yards,1.5 minutes,wow-priest-rapture.png,wow-priest-rapture.jpg,When your Power Word: Shield is completely absorbed or dispelled you are instantly energized with 2% of your total mana; and you have a 66% chance to energize your shielded target with 2% total mana; 8 rage; 16 energy or 32 runic power. This effect can only occur once every 12 sec.
PRIEST,externalDefensive,Ray of Hope,197268,1,1,0,,0,,Instant,40 yards,1.5 minutes,wow-priest-ray-of-hope.png,wow-priest-ray-of-hope.jpg,For the next 6 sec; all damage and healing dealt to the target is delayed until Ray of Hope ends. All healing that is delayed by Ray of Hope is increased by 50%.
PRIEST,defensive,Restitution,391124,1,1,0,,0,,Instant,0 yards,,wow-priest-restitution.png,wow-priest-restitution.jpg,After Spirit of Redemption expires; you will revive at up to 100% health; based on your healing done during Spirit of Redemption. After reviving; you cannot benefit from Spirit of Redemption for 10 min.
PRIEST,interrupt,Silence,15487,1,1,1,Crowd Control,0,,Instant,40 yards,45 seconds,wow-priest-silence.png,wow-priest-silence.jpg,Silences the target; preventing them from casting spells for 4 sec. Against non-players; also interrupts spellcasting and prevents any spell in that school from being cast for 4 sec.
PRIEST,defensive,Spirit of the Redeemer,215982,1,1,1,Defensives,1,Offensives,Instant,0 yards,,wow-priest-spirit-of-the-redeemer.png,wow-priest-spirit-of-the-redeemer.jpg,Your Spirit of Redemption is now an active ability with a 2 minute cooldown; but the duration is reduced by 9 sec and you will no longer enter Spirit of Redemption upon dying.
PRIEST,externalDefensive,Void Shift,108968,1,1,1,Defensives,0,,Instant,40 yards,5 minutes,wow-priest-void-shift.png,wow-priest-void-shift.jpg,Swap health percentages with your ally. Increases the lower health percentage of the two to 25% if below that amount.
ROGUE,cc,Blind,2094,1,1,1,Crowd Control,0,,Instant,15 yards,2 minutes,wow-rogue-blind.png,wow-rogue-blind.jpg,Blinds the target; causing it to wander disoriented for 1 min. Damage will interrupt the effect. Limit 1.
ROGUE,defensive,Cheat Death,31230,1,1,0,,0,,Instant,0 yards,,wow-rogue-cheat-death.png,wow-rogue-cheat-death.jpg,Fatal attacks instead reduce you to 7% of your maximum health. For 3 sec afterward; you take 85% reduced damage. Cannot trigger more often than once per 6 min.
ROGUE,defensive,Cloak of Shadows,31224,1,1,1,Defensives,0,,Instant,0 yards,2 minutes,wow-rogue-cloak-of-shadows.png,wow-rogue-cloak-of-shadows.jpg,Provides a moment of magic immunity; instantly removing all harmful spell effects. The cloak lingers; causing you to resist harmful spells for 5 sec.
ROGUE,offensive,Deathmark,360194,1,0,0,,1,Offensives,Instant,5 yards,2 minutes,wow-rogue-deathmark.png,wow-rogue-deathmark.jpg,Carve a deathmark into an enemy; dealing (320% of Attack power) Bleed damage over 16 sec. While marked your Garrote; Rupture; and Lethal poisons applied to the target are duplicated; dealing 100% of normal damage.
ROGUE,defensive,Evasion,5277,1,1,1,Defensives,0,,Instant,0 yards,2 minutes,wow-rogue-evasion.png,wow-rogue-evasion.jpg,Increases your dodge chance by 100% for 10 sec.
ROGUE,offensive,Flagellation,384631,0,0,0,,1,Offensives,Instant,5 yards,1.5 minutes,wow-rogue-flagellation.png,wow-rogue-flagellation.jpg,Lash the target for (60% of Attack power) Shadow damage; causing each combo point spent within 12 sec to lash for an additional (12.1% of Attack power). Dealing damage with Flagellation increases your Mastery by (1 * $mas)%; persisting 12 sec after their torment fades.
ROGUE,offensive,Ghostly Strike,196937,0,0,0,,1,Offensives,Instant,5 yards,1.5 minutes,wow-rogue-ghostly-strike.png,wow-rogue-ghostly-strike.jpg,Strikes an enemy; dealing (232.32% of Attack power) Physical damage and causing the target to take 15% increased damage from your abilities for 12 sec.Awards 1 combo point.
ROGUE,interrupt,Kick,1766,1,1,1,Interrupts,0,,Instant,5 yards,15 seconds,wow-rogue-kick.png,wow-rogue-kick.jpg,A quick kick that interrupts spellcasting and prevents any spell in that school from being cast for 3 sec.
ROGUE,cc,Kidney Shot,408,0,1,1,Crowd Control,0,,Instant,5 yards,30 seconds,wow-rogue-kidney-shot.png,wow-rogue-kidney-shot.jpg,Finishing move that stuns the target. Lasts longer per combo point; up to 8 sec:   1 point : 4 second   2 points: 5 seconds   3 points: 6 seconds   4 points: 7 seconds   5 points: 8 seconds
ROGUE,offensive,Kingsbane,385627,0,0,0,,1,Offensives,Instant,5 yards,1 minute,wow-rogue-kingsbane.png,wow-rogue-kingsbane.jpg,Release a lethal poison from your weapons and inject it into your target; dealing (172.81% of Attack power) Nature damage instantly and an additional (203% of Attack power) Nature damage over 14 sec. Each time you apply a Lethal Poison to a target affected by Kingsbane; Kingsbane damage increases by 20%; up to 1000%.Awards 1 combo points.
ROGUE,offensive,Secret Technique,280719,0,0,0,,1,Offensives,Instant,5 yards,1 minute,wow-rogue-secret-technique.png,wow-rogue-secret-technique.jpg,Finishing move that creates shadow clones of yourself. You and your shadow clones each perform a piercing attack on all enemies near your target; dealing Physical damage to the primary target and reduced damage to other targets.   1 point  : [(20% of Attack power) * 1 * 3] total damage   2 points: [(20% of Attack power) * 2 * 3] total damage   3 points: [(20% of Attack power) * 3 * 3] total damage   4 points: [(20% of Attack power) * 4 * 3] total damage   5 points: [(20% of Attack power) * 5 * 3] total damage[   6 points: [(20% of Attack power) * 6 * 3] total damage][   7 points: [(20% of Attack power) * 7 * 3] total damage]Cooldown is reduced by 1 sec for every combo point you spend.
ROGUE,offensive,Shadow Blades,121471,1,0,0,,1,Offensives,Instant,0 yards,1.5 minutes,wow-rogue-shadow-blades.png,wow-rogue-shadow-blades.jpg,Draws upon surrounding shadows to empower your weapons; causing your attacks to deal 20% additional damage as Shadow and causing your combo point generating abilities to generate full combo points for 16 sec.
ROGUE,offensive,Shadow Dance,185313,0,0,0,,1,Offensives,Instant,0 yards,6 seconds,wow-rogue-shadow-dance.png,wow-rogue-shadow-dance.jpg,Allows use of all Stealth abilities and grants all the combat benefits of Stealth for 6 sec. Effect not broken from taking damage or attacking.
ROGUE,cc,Shadowy Duel,207736,1,1,0,,0,,Instant,5 yards,2 minutes,wow-rogue-shadowy-duel.png,wow-rogue-shadowy-duel.jpg,You lock your target into a duel contained in the shadows; removing both of you from the eyes of onlookers for 5 sec.Allows access to Stealth-based abilities.
ROGUE,cc,Smoke Bomb,212182,1,1,0,,0,,Instant,0 yards,3 minutes,wow-rogue-smoke-bomb.png,wow-rogue-smoke-bomb.jpg,Creates a cloud of thick smoke in an 8 yard radius around the Rogue for 5 sec. Enemies are unable to target into or out of the smoke cloud.
ROGUE,cc,Smoke Bomb,359053,1,1,0,,0,,Instant,0 yards,2 minutes,wow-rogue-smoke-bomb.png,wow-rogue-smoke-bomb.jpg,Creates a cloud of thick smoke in an 8 yard radius around the Rogue for 5 sec. Enemies are unable to target into or out of the smoke cloud.
ROGUE,defensive,Vanish,1856,1,1,1,Defensives,0,,Instant,0 yards,1 second,wow-rogue-vanish.png,wow-rogue-vanish.jpg,Allows you to vanish from sight; entering stealth while in combat. For the first 3 sec after vanishing; damage and harmful effects received will not break stealth. Also breaks movement impairing effects.
SHAMAN,heal,Ascendance,114052,1,1,0,,0,,Instant,0 yards,3 minutes,wow-shaman-ascendance.png,wow-shaman-ascendance.jpg,Transform into a Water Ascendant; duplicating all healing you deal at 70% effectiveness for 15 sec and immediately healing for (876% of Spell power). Ascendant healing is distributed evenly among allies within 40 yds.
SHAMAN,defensive,Astral Shift,108271,1,1,1,Defensives,0,,Instant,0 yards,2 minutes,wow-shaman-astral-shift.png,wow-shaman-astral-shift.jpg,Shift partially into the elemental planes; taking 40% less damage for 12 sec.
SHAMAN,offensive,Bloodlust,2825,0,0,0,,1,Offensives,Instant,0 yards,5 minutes,wow-shaman-bloodlust.png,wow-shaman-bloodlust.jpg,Increases haste by 30% for all party and raid members for 40 sec.Allies receiving this effect will become Sated and unable to benefit from Bloodlust or Time Warp again for 10 min.
SHAMAN,immunity,Burrow,409293,1,1,1,Defensives,0,,Instant,0 yards,2 minutes,wow-shaman-burrow.png,wow-shaman-burrow.jpg,Burrow beneath the ground; becoming unattackable; removing movement impairing effects; and increasing your movement speed by 50% for 5 sec.When the effect ends; enemies within 6 yards are knocked in the air and take [Spell power * 6.6 * (1 + Versatility)] Physical damage.
SHAMAN,dispel,Cleanse Spirit,51886,0,1,0,,0,,Instant,40 yards,8 seconds,wow-shaman-cleanse-spirit.png,wow-shaman-cleanse-spirit.jpg,Cleanse the spirit of a friendly target; removing 1 poison effect; 1 disease effect; and 1 curse effect.
SHAMAN,offensive,Doom Winds,384352,0,0,0,,1,Offensives,Instant,0 yards,1 minute,wow-shaman-doom-winds.png,wow-shaman-doom-winds.jpg,Unleash a devastating storm around yourself; dealing (74.75% of Attack power) Stormstrike damage every 1 sec to nearby enemies for 8 sec.Increases your chance to activate Windfury Weapon by 200%; and the damage of Windfury Weapon by 10%.
SHAMAN,raidDefensive,Earthen Wall Totem,198838,1,1,0,,0,,Instant,40 yards,1 minute,wow-shaman-earthen-wall-totem.png,wow-shaman-earthen-wall-totem.jpg,Summons a totem at the target location with (60 * Total health / 100) health for 15 sec. (35 * Spell power / 100) damage from each attack against allies within [Totemic Focus: 11.5 / 10] yards of the totem is redirected to the totem.
SHAMAN,offensive,Feral Spirit,51533,0,0,0,,1,Offensives,Instant,30 yards,1.5 minutes,wow-shaman-feral-spirit.png,wow-shaman-feral-spirit.jpg,Summons two Spirit Wolves under the command of the Shaman; lasting 45 sec.
SHAMAN,counterCC,Grounding Totem,204336,1,1,0,,0,,Instant,0 yards,30 seconds,wow-shaman-grounding-totem.png,wow-shaman-grounding-totem.jpg,Summons a totem at your feet that will redirect all harmful spells cast within 30 yards on a nearby party or raid member to itself. Will not redirect area of effect spells. Lasts 3 sec.
SHAMAN,raidDefensive,Healing Tide Totem,108280,1,1,0,,0,,Instant,0 yards,3 minutes,wow-shaman-healing-tide-totem.png,wow-shaman-healing-tide-totem.jpg,Summons a totem at your feet for 10 sec; which pulses every 2 sec; healing all party or raid members within 40 yards for (175% of Spell power).Healing reduced beyond 5 targets.
SHAMAN,cc,Hex,51514,0,1,0,,0,,1.7 seconds,30 yards,30 seconds,wow-shaman-hex.png,wow-shaman-hex.jpg,Transforms the enemy into a frog. While hexed; the target cannot attack or cast spells. Damage caused may interrupt the effect. Lasts 30 sec. Only one target can be hexed at a time.  Only works on Humanoids and Beasts.
SHAMAN,cc,Lightning Lasso,305483,1,1,1,Crowd Control,0,,Instant,20 yards,45 seconds,wow-shaman-lightning-lasso.png,wow-shaman-lightning-lasso.jpg,Grips the target in lightning; stunning and dealing (700% of Spell power) Nature damage over 5 sec while the target is lassoed. Can move while channeling.
SHAMAN,offensive,Primordial Wave,375982,0,0,0,,1,Offensives,Instant,40 yards,30 second,wow-shaman-primordial-wave.png,wow-shaman-primordial-wave.jpg,EnhancementBlast your target with a Primordial Wave; dealing (65% of Spell power) Elemental damage and applying Flame Shock to them.Your next Lightning Bolt will also hit all targets affected by your Flame Shock for 175% of normal damage. ElementalBlast your target with a Primordial Wave; dealing (65% of Spell power) Elemental damage; applying Flame Shock to them; and granting you Lava Surge.Your next Lava Burst will also hit all targets affected by your Flame Shock for 50% of normal damage.
SHAMAN,dispel,Purify Spirit,77130,0,1,0,,0,,Instant,40 yards,,wow-shaman-purify-spirit.png,wow-shaman-purify-spirit.jpg,Removes all Magic[Improved Purify Spirit: and Curse] effects from a friendly target.
SHAMAN,raidDefensive,Spirit Link Totem,98008,1,1,1,Defensives,0,,Instant,40 yards,,wow-shaman-spirit-link-totem.png,wow-shaman-spirit-link-totem.jpg,Summons a totem at the target location for 6 sec; which reduces damage taken by all party and raid members within 10 yards by 10%. Immediately and every 1 sec; the health of all affected players is redistributed evenly.
SHAMAN,freedom,Spirit Walk,58875,1,1,0,,0,,Instant,0 yards,1 minute,wow-shaman-spirit-walk.png,wow-shaman-spirit-walk.jpg,Removes all movement impairing effects and increases the movement speed of you and your Spirit Wolves by 60% for 15 sec.
SHAMAN,defensive,Stone Bulwark Totem,108270,0,1,0,,0,,Instant,0 yards,3 minutes,wow-shaman-stone-bulwark-totem.png,wow-shaman-stone-bulwark-totem.jpg,Summons a totem at your feet that grants you an absorb shield preventing 0 damage for 15 sec; and an additional 0 every 5 sec for 30 sec.
SHAMAN,offensive,Stormkeeper,191634,0,0,0,,1,Offensives,1.5 seconds,0 yards,1 minute,wow-shaman-stormkeeper.png,wow-shaman-stormkeeper.jpg,Charge yourself with lightning; causing your next 2 Lightning Bolts to deal 150% more damage; and also causes your next 2 Lightning Bolts or Chain Lightnings to be instant cast and trigger an Elemental Overload on every target.
SHAMAN,counterCC,Tremor Totem,8143,1,1,0,,0,,Instant,0 yards,1 minute,wow-shaman-tremor-totem.png,wow-shaman-tremor-totem.jpg,Summons a totem at your feet that shakes the ground around it for 10 sec; removing Fear; Charm and Sleep effects from party and raid members within 30 yards.
SHAMAN,interrupt,Wind Shear,57994,1,1,1,Interrupts,0,,Instant,30 yards,12 seconds,wow-shaman-wind-shear.png,wow-shaman-wind-shear.jpg,Instantly blasts the target with a gust of wind; causing no damage but interrupting spellcasting and preventing any spell in that school from being cast for 2 sec. Also lowers your threat; making the enemy less likely to attack you.
WARLOCK,offensive,Amplify Curse,328774,0,0,0,,1,Offensives,Instant,0 yards,1 minute,wow-warlock-amplify-curse.png,wow-warlock-amplify-curse.jpg,Your next Curse of Exhaustion; Curse of Tongues or Curse of Weakness cast within 15 sec is amplified.Curse of ExhaustionReduces the target's movement speed by an additional 20%.Curse of TonguesIncreases casting time by an additional 40%.Curse of WeaknessEnemy is unable to critically strike.
WARLOCK,interrupt,Command Demon,119898,1,1,1,Interrupts,0,,Instant,0 yards,,wow-warlock-command-demon.png,wow-warlock-command-demon.jpg,Commands your demon to perform its most powerful ability. This spell will transform based on your active pet. [ Demonology: Felguard: Axe Toss]Felhunter: Spell LockVoidwalker: Shadow BulwarkIncubus/Succubus: SeductionImp: Singe Magic
WARLOCK,defensive,Dark Pact,108416,1,1,1,Defensives,0,,Instant,0 yards,1 minute,wow-warlock-dark-pact.png,wow-warlock-dark-pact.jpg,Sacrifices 20% of your current health to shield you for 200% of the sacrificed health plus an additional (Spell power * 2.5) for 20 sec. Usable while suffering from control impairing effects.
WARLOCK,movement,Demonic Circle: Teleport,48020,1,1,1,Defensives,0,,Instant,40 yards,30 seconds,wow-warlock-demonic-circle-teleport.png,wow-warlock-demonic-circle-teleport.jpg,Teleports you to your Demonic Circle and removes all snare effects.
WARLOCK,heal,Demonic Healthstone,452930,0,1,1,Defensives,0,,Instant,0 yards,1 minute,wow-warlock-demonic-healthstone.png,wow-warlock-demonic-healthstone.jpg,Instantly restores 25% health [Empowered Healthstone: plus an additional 30% over 6 sec / .]
WARLOCK,interrupt,Grimoire: Felguard,111898,1,1,0,,0,,Instant,40 yards,2 minutes,wow-warlock-grimoire-felguard.png,wow-warlock-grimoire-felguard.jpg,Summons a Felguard who attacks the target for 17 sec that deals 125% increased damage.This Felguard will stun and interrupt their target when summoned.
WARLOCK,aoeCC,Howl of Terror,5484,1,1,1,Crowd Control,0,,Instant,0 yards,40 seconds,wow-warlock-howl-of-terror.png,wow-warlock-howl-of-terror.jpg,Let loose a terrifying howl; causing 5 enemies within 10 yds to flee in fear; disorienting them for 20 sec. Damage may cancel the effect.
WARLOCK,offensive,Malevolence,442726,0,0,0,,1,Offensives,Instant,0 yards,1 minute,wow-warlock-malevolence.png,wow-warlock-malevolence.jpg,Dark magic erupts from you and corrupts your soul for 20 sec; causing enemies suffering from your Wither to take (333.029% of Spell power) Shadowflame damage and increase its stack count by 6.While corrupted your Haste is increased by 8% and spending Soul Shards on damaging spells grants 1 additional stack of Wither.
WARLOCK,cc,Mortal Coil,6789,1,1,1,Crowd Control,0,,Instant,20 yards,45 seconds,wow-warlock-mortal-coil.png,wow-warlock-mortal-coil.jpg,Horrifies an enemy target into fleeing; incapacitating for 3 sec and healing you for 20% of maximum health.
WARLOCK,offensive,Summon Demonic Tyrant,265187,1,0,0,,1,Offensives,2 seconds,40 yards,1 minute,wow-warlock-summon-demonic-tyrant.png,wow-warlock-summon-demonic-tyrant.jpg,Summon a Demonic Tyrant to increase the duration of your Dreadstalkers; Vilefiend; Felguard; and up to 10 of your Wild Imps by 15 sec. Your Demonic Tyrant increases the damage of affected demons by 15%; while damaging your target.[Soulbound Tyrant: Generates 0 Soul Shards.]
WARLOCK,defensive,Unending Resolve,104773,1,1,1,Defensives,0,,Instant,0 yards,3 minutes,wow-warlock-unending-resolve.png,wow-warlock-unending-resolve.jpg,Hardens your skin; reducing all damage you take by 25% and granting immunity to interrupt; silence; and pushback effects for 8 sec.
